Data,IBOV,ICON,IEEX,IFNC,IGCX,IMAT,INDX,UTIL
2008-01-22,56097.00,971.82,15957.00,2369.49,5697.00,1979.13,8799.00,1503.43
2008-01-23,54234.00,942.06,15537.00,2312.28,5481.00,1908.31,8524.00,1462.36
2008-01-24,57463.00,987.10,15987.00,2492.29,5852.00,2022.48,8944.00,1492.83
2008-01-28,58593.00,994.26,16341.00,2488.60,5906.00,2062.32,9123.00,1525.49
2008-01-29,59529.00,999.31,16261.00,2498.52,5977.00,2106.41,9268.00,1528.14
2008-01-30,60289.00,1011.88,16168.00,2503.09,6012.00,2133.02,9332.00,1517.55
2008-01-31,59490.00,1000.39,16089.00,2430.92,5926.00,2117.63,9250.00,1510.34
2008-02-01,61079.00,1027.33,16358.00,2386.96,6053.00,2210.90,9619.00,1541.27
2008-02-06,58968.00,999.02,16029.00,2302.98,5872.00,2145.23,9337.00,1518.53
2008-02-07,58965.00,998.42,15976.00,2275.90,5815.00,2148.32,9374.00,1515.83
2008-02-08,59075.00,1002.95,15908.00,2259.25,5827.00,2163.72,9396.00,1506.44
2008-02-11,60643.00,1036.25,16301.00,2320.00,5994.00,2227.18,9685.00,1536.72
2008-02-12,61805.00,1061.86,16576.00,2408.14,6129.00,2252.53,9852.00,1564.67
2008-02-13,62590.00,1062.93,16868.00,2477.75,6204.00,2265.39,9894.00,1589.70
2008-02-14,61818.00,1041.20,16739.00,2426.31,6137.00,2267.56,9823.00,1581.82
2008-02-15,61271.00,1032.61,16682.00,2443.29,6085.00,2260.61,9757.00,1570.17
2008-02-18,62801.00,1059.61,16940.00,2516.54,6235.00,2317.87,9950.00,1590.31
2008-02-19,62296.00,1047.05,16792.00,2482.39,6188.00,2328.57,9956.00,1574.42
2008-02-20,63747.00,1065.78,17127.00,2534.17,6365.00,2394.60,10170.00,1611.09
2008-02-21,63792.00,1069.41,17039.00,2544.68,6366.00,2433.98,10276.00,1605.88
2008-02-22,64608.00,1092.34,17354.00,2574.76,6441.00,2436.41,10311.00,1643.42
2008-02-25,65000.00,1098.12,17469.00,2609.31,6492.00,2439.10,10360.00,1661.71
2008-02-26,65182.00,1102.06,17665.00,2637.46,6536.00,2436.99,10396.00,1673.83
2008-02-27,65494.00,1108.32,17697.00,2675.68,6580.00,2434.28,10428.00,1677.18
2008-02-28,65555.00,1116.69,17630.00,2666.24,6615.00,2442.41,10453.00,1665.33
2008-02-29,63489.00,1098.24,17467.00,2582.65,6435.00,2382.81,10223.00,1644.33
2008-03-03,64490.00,1116.35,17914.00,2622.66,6524.00,2427.43,10408.00,1692.21
2008-03-04,63655.00,1118.76,17721.00,2572.60,6425.00,2389.36,10285.00,1692.62
2008-03-05,64629.00,1132.14,17879.00,2644.05,6544.00,2428.66,10374.00,1696.62
2008-03-06,62974.00,1103.18,17512.00,2567.12,6392.00,2396.43,10203.00,1665.06
2008-03-07,61867.00,1088.23,17220.00,2502.34,6276.00,2362.62,10039.00,1631.34
2008-03-10,59999.00,1051.84,16866.00,2460.94,6111.00,2280.46,9726.00,1598.72
2008-03-11,62367.00,1086.10,17171.00,2546.17,6319.00,2359.49,10024.00,1635.03
2008-03-12,62176.00,1082.18,17149.00,2485.27,6290.00,2379.42,10056.00,1628.90
2008-03-13,62279.00,1076.76,17088.00,2501.80,6268.00,2414.38,10156.00,1628.31
